Class 1,Class 2,Fisher Score
A,B,0.00014438588800892724
A,C,0.0001702928402882001
A,D,0.00017003886235771317
A,E,0.00015813507457221936
A,F,0.00015170673415495058
A,G,0.00014326576054698659
A,H,0.00015619116226396764
A,I,0.00022079214488612028
A,J,0.00013446941958779917
A,K,0.00010853963132135836
A,L,0.00017478873077581973
A,M,0.000179274921019382
A,N,0.00016009101636433614
A,O,0.00019129157011756742
A,P,0.00014646837314784313
A,Q,0.00011875018454378558
A,R,9.379240697443218e-05
A,S,0.0001438544870679015
A,T,0.00027072996451828137
A,U,0.00018171375559150962
A,V,0.00020834814581676209
A,W,0.00012840532596921421
A,X,0.00015107855129250928
A,Y,0.00022039215595505502
A,Z,0.00020437294864286487
B,C,0.00014343988904163058
B,D,6.525441834892119e-05
B,E,8.243543461269438e-05
B,F,0.00020490791353733795
B,G,7.399825387716532e-05
B,H,8.491955886452853e-05
B,I,0.00032357212627582524
B,J,0.00024352580218673904
B,K,0.00010600594995205342
B,L,0.0002772307384292369
B,M,0.00016759179000261078
B,N,0.0001323491150240501
B,O,0.00010681958769310422
B,P,0.00018461910841054293
B,Q,0.00011662308292799402
B,R,6.953966686619425e-05
B,S,6.428589496857238e-05
B,T,0.00034934108696703744
B,U,8.990425020930031e-05
B,V,0.0001562157394347852
B,W,0.000189504928352088
B,X,0.00018863729713092662
B,Y,0.00022613330919511165
B,Z,0.00014756073837078027
C,D,0.00010454035196160752
C,E,7.371601841702643e-05
C,F,0.00014013909708782287
C,G,6.967618460316636e-05
C,H,0.00018972864419550712
C,I,0.00021012104953840806
C,J,0.000165752908993063
C,K,0.00013881384638979882
C,L,0.00014098259206135944
C,M,0.0001977937305695403
C,N,0.00019623566913093925
C,O,0.0001098633058416041
C,P,0.0001674767313624522
C,Q,8.489814455103343e-05
C,R,0.00013083668692084042
C,S,0.00014163985322277695
C,T,0.00023878713676430462
C,U,8.891781522532699e-05
C,V,0.00013143293780526545
C,W,0.0001948248734196599
C,X,0.00023532044474593636
