Size,Purity,Train_Accuracy,Test_Accuracy
2,2,0.8913119943721421,0.8761279737489746
2,3,0.8913119943721421,0.8761279737489746
2,4,0.8913119943721421,0.8761279737489746
2,5,0.8913119943721421,0.8761279737489746
2,10,0.8913119943721421,0.8761279737489746
2,20,0.8913119943721421,0.8761279737489746
2,50,0.5189940204009849,0.5155865463494668
3,2,0.9482940555750967,0.9384741591468416
3,3,0.9482940555750967,0.9384741591468416
3,4,0.9482940555750967,0.9384741591468416
3,5,0.9482940555750967,0.9384741591468416
3,10,0.8913119943721421,0.8761279737489746
3,20,0.8913119943721421,0.8761279737489746
3,50,0.5189940204009849,0.5155865463494668
4,2,0.9701020049243757,0.9663658736669402
4,3,0.9701020049243757,0.9663658736669402
4,4,0.9482940555750967,0.9384741591468416
4,5,0.9482940555750967,0.9384741591468416
4,10,0.8913119943721421,0.8761279737489746
4,20,0.8913119943721421,0.8761279737489746
4,50,0.5189940204009849,0.5155865463494668
5,2,0.9701020049243757,0.9663658736669402
5,3,0.9701020049243757,0.9663658736669402
5,4,0.9482940555750967,0.9384741591468416
5,5,0.9482940555750967,0.9384741591468416
5,10,0.8913119943721421,0.8761279737489746
5,20,0.8913119943721421,0.8761279737489746
5,50,0.5189940204009849,0.5155865463494668
10,2,0.9701020049243757,0.9663658736669402
10,3,0.9701020049243757,0.9663658736669402
10,4,0.9482940555750967,0.9384741591468416
10,5,0.9482940555750967,0.9384741591468416
10,10,0.8913119943721421,0.8761279737489746
10,20,0.8913119943721421,0.8761279737489746
10,50,0.5189940204009849,0.5155865463494668
